Date,Price,Open,High,Low,Change %
18-07-2025,6.305,6.3,6.309,6.296,0.05%
17-07-2025,6.302,6.313,6.313,6.298,-0.17%
16-07-2025,6.313,6.312,6.317,6.312,0.00%
15-07-2025,6.313,6.319,6.323,6.31,0.03%
14-07-2025,6.311,6.302,6.319,6.302,0.11%
11-07-2025,6.304,6.318,6.334,6.301,-0.22%
10-07-2025,6.318,6.316,6.321,6.309,0.06%
09-07-2025,6.314,6.315,6.316,6.309,0.13%
08-07-2025,6.306,6.295,6.307,6.293,0.19%
07-07-2025,6.294,6.295,6.297,6.287,0.06%
04-07-2025,6.29,6.287,6.304,6.287,0.16%
03-07-2025,6.28,6.29,6.3,6.283,0.00%
02-07-2025,6.28,6.292,6.299,6.286,-0.16%
01-07-2025,6.29,6.324,6.324,6.29,-0.32%
30-06-2025,6.31,6.322,6.329,6.314,0.00%
27-06-2025,6.31,6.279,6.317,6.279,0.64%
26-06-2025,6.27,6.28,6.291,6.265,-0.16%
25-06-2025,6.28,6.261,6.29,6.248,0.64%
24-06-2025,6.24,6.305,6.305,6.247,-0.95%
23-06-2025,6.3,6.309,6.33,6.303,-0.16%
20-06-2025,6.31,6.31,6.319,6.296,0.16%
19-06-2025,6.3,6.259,6.317,6.259,0.80%
18-06-2025,6.25,6.273,6.273,6.256,0.00%
17-06-2025,6.25,6.27,6.273,6.253,-0.16%
16-06-2025,6.26,6.299,6.307,6.27,-0.48%
13-06-2025,6.29,6.327,6.327,6.299,0.16%
12-06-2025,6.28,6.304,6.304,6.277,-0.16%
11-06-2025,6.29,6.287,6.303,6.273,0.16%
10-06-2025,6.28,6.28,6.302,6.265,0.16%
09-06-2025,6.27,6.241,6.286,6.241,0.64%
06-06-2025,6.23,6.196,6.241,6.13,0.81%
05-06-2025,6.18,6.211,6.211,6.191,-0.48%
04-06-2025,6.21,6.206,6.214,6.203,0.16%
03-06-2025,6.2,6.218,6.226,6.202,-0.32%
02-06-2025,6.22,6.226,6.236,6.208,0.32%
30-05-2025,6.2,6.184,6.227,6.176,0.32%
